Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,60%,70%,80%,90%,95%,99%,100%
HTTP,GET /api/v1/operations,1282,0,46,87.16060497831442,22.66716957092285,996.4559078216553,276.9500780031201,7.319689629020043,0.0,46,58,77,110,180,280,700,1000
HTTP,GET /api/v1/operations/operations-summary,1272,0,45,80.62871709559698,25.45905113220215,924.6311187744141,74.34669811320755,7.262593766079168,0.0,46,55,71,100,170,250,550,920
HTTP,GET /api/v1/operations/{operation_id},1253,0,42,76.42848493571483,20.915746688842773,1007.8489780426025,273.93854748603354,7.154111626491508,0.0,42,53,70,100,170,230,550,1000
HTTP,POST /api/v1/accounts/open-debit-card-account,1314,0,310.0,405.5120741758535,178.85088920593262,2076.643228530884,664.9467275494673,7.502396390430839,0.0,310,340,420,520,710,990,1600,2100
HTTP,POST /api/v1/operations/make-top-up-operation,1300,0,350.0,398.99881197856024,241.8351173400879,1488.1980419158936,273.9407692307692,7.422462182313615,0.0,350,370,400,450,560,720,1000,1500
HTTP,POST /api/v1/users,1333,0,49,97.90419226558424,22.526264190673828,1408.506155014038,201.2723180795199,7.6108785300185,0.0,49,65,87,130,240,360,610,1400
,Aggregated,7754,0,91,192.43127736413112,20.915746688842773,2076.643228530884,295.46337374258445,44.272132124353675,0.0,91,190,270,330,430,570,1000,2100
