Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,60%,70%,80%,90%,95%,99%,100%
HTTP,GET /api/v1/accounts,1249,0,160.0,247.16323599803914,40.46201705932617,1684.9868297576904,90.40272217774219,20.984764511439703,0.0,160,200,260,360,600,840,1200,1700
HTTP,POST /api/v1/accounts/open-deposit-account,398,0,140.0,220.61985461556134,50.26388168334961,1077.2380828857422,117.0,6.6868985392738205,0.0,140,180,250,320,460,760,980,1100
HTTP,POST /api/v1/users,524,0,79,136.37323506915843,22.47905731201172,955.1370143890381,201.2881679389313,8.803856368290155,0.0,80,110,140,190,350,490,810,960
,Aggregated,2171,0,130.0,215.5564988829034,22.47905731201172,1684.9868297576904,122.04237678489176,36.47551941900368,0.0,130,170,220,320,510,750,1100,1700
