Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,60%,70%,80%,90%,95%,99%,100%
gRPC,/contracts.services.gateway.accounts.AccountsGatewayService/OpenSavingsAccount,234,0,4000.0,3719.6536036006783,15.778542030602694,7180.218250025064,44.0,4.254033521198871,0.0,4000,5000,5500,5800,6200,6400,7000,7200
gRPC,/contracts.services.gateway.documents.DocumentsGatewayService/GetContractDocument,172,0,5700.0,5653.6398328401465,1238.7846250203438,8688.448500004597,123.77325581395348,3.126896434385495,0.0,5700,6500,6800,7100,7200,8200,8400,8700
gRPC,/contracts.services.gateway.documents.DocumentsGatewayService/GetTariffDocument,206,0,5500.0,5283.572424773366,454.91570798913017,8920.224500005133,120.37378640776699,3.7450038690896044,0.0,5600,6100,6400,6700,7000,7200,8800,8900
gRPC,/contracts.services.gateway.users.UsersGatewayService/CreateUser,253,0,3600.0,3306.5643389451616,6.591250014025718,7110.350041999482,124.87351778656127,4.5994464994158735,0.0,3600,4700,5100,5500,5900,6200,6800,7100
,Aggregated,865,0,5000.0,4355.840106066478,6.591250014025718,8920.224500005133,101.70520231213872,15.725380324089844,0.0,5000,5400,5800,6300,6800,7100,8300,8900
