Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,60%,70%,80%,90%,95%,99%,100%
gRPC,/contracts.services.gateway.accounts.AccountsGatewayService/OpenDebitCardAccount,1425,0,29,32.30267160314772,22.36800000537187,121.3942079921253,326.03719298245613,8.13797747096675,0.0,29,31,32,35,40,49,87,120
gRPC,/contracts.services.gateway.operations.OperationsGatewayService/GetOperation,1354,0,5,5.238784252280064,2.97333300113678,138.78624996868894,160.46233382570162,7.732506312764195,0.0,5,5,5,6,6,8,15,140
gRPC,/contracts.services.gateway.operations.OperationsGatewayService/GetOperations,1392,0,6,7.201873342156673,4.579540982376784,249.2368330131285,160.46120689655172,7.949519045323308,0.0,6,6,7,7,8,10,23,250
gRPC,/contracts.services.gateway.operations.OperationsGatewayService/GetOperationsSummary,1373,0,9,10.149162436538028,6.154833012260497,289.04929204145446,4.483612527312454,7.841012679043752,0.0,9,9,10,10,11,12,24,290
gRPC,/contracts.services.gateway.operations.OperationsGatewayService/MakeTopUpOperation,1402,0,180.0,179.84947334020433,118.54495800798759,1061.7755830171518,160.46219686162624,8.006627659154654,0.0,180,180,190,200,210,210,260,1100
gRPC,/contracts.services.gateway.users.UsersGatewayService/CreateUser,1445,0,6,9.260067712132107,4.064499982632697,207.55320799071342,124.25259515570934,8.25219469862944,0.0,6,6,7,7,10,20,79,210
,Aggregated,8391,0,9,40.83115100664031,2.97333300113678,1061.7755830171518,156.82278631867476,47.919837865882094,0.0,9,10,27,37,170,190,210,1100
