Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,60%,70%,80%,90%,95%,99%,100%
HTTP,GET /api/v1/documents/contract-document/{account_id},245,0,3800.0,3785.064150362599,290.6181812286377,7377.6140213012695,155.66122448979593,4.1165799956628675,0.0,3800,4200,4900,5600,6000,6100,7300,7400
HTTP,GET /api/v1/documents/tariff-document/{account_id},265,0,9800.0,9125.751101295904,243.03722381591797,17932.2030544281,150.82264150943396,4.452627342247592,0.0,9800,10000,11000,13000,14000,15000,17000,18000
HTTP,POST /api/v1/accounts/open-savings-account,322,0,96,156.62291035148667,51.22113227844238,1021.3770866394043,117.0,5.410362280014055,0.0,97,110,130,180,350,510,1000,1000
HTTP,POST /api/v1/users,333,0,54,161.77485869811463,24.50084686279297,829.3590545654297,201.23723723723722,5.5951883206356525,0.0,54,66,200,350,450,560,780,830
,Aggregated,1165,0,390.0,2961.346234988757,24.50084686279297,17932.2030544281,156.90214592274677,19.574757938560168,0.0,390,1400,3800,6000,9900,12000,15000,18000
