Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,60%,70%,80%,90%,95%,99%,100%
gRPC,/contracts.services.gateway.accounts.AccountsGatewayService/GetAccounts,14369,0,16,41.31980872327317,5.495958030223846,2204.914292029571,41.85955877235716,82.06212279255286,0.0,16,18,23,30,47,76,800,2200
gRPC,/contracts.services.gateway.accounts.AccountsGatewayService/OpenDepositAccount,4733,0,21,44.822650100232416,12.544500001240522,1809.3212500098161,44.0,27.03041458536799,0.0,21,23,26,30,39,70,770,1800
gRPC,/contracts.services.gateway.users.UsersGatewayService/CreateUser,4971,0,6,28.57316753735608,3.58399999095127,1635.2712499792688,124.53832226916113,28.389645236396426,0.0,6,7,7,8,11,31,740,1600
,Aggregated,24073,0,16,39.37636149617037,3.58399999095127,2204.914292029571,59.35330037801687,137.48218261431725,0.0,16,18,21,28,41,70,770,2200
