Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,60%,70%,80%,90%,95%,99%,100%
HTTP,POST /api/v1/accounts/open-debit-card-account,2101,0,780.0,1253.7817818842748,187.2727870941162,7431.894063949585,665.1941932413137,11.67078023744778,0.0,780,950,1200,1600,3000,4400,6300,7400
HTTP,POST /api/v1/cards/issue-physical-card,2075,0,370.0,743.1572385581143,63.19689750671387,5343.914985656738,281.6631325301205,11.52635363765071,0.0,370,470,610,1000,2100,3100,4400,5300
HTTP,POST /api/v1/users,2143,0,160.0,321.8960436047987,23.39005470275879,2834.9640369415283,201.3005132991134,11.904084744812275,0.0,160,200,280,440,800,1400,2200,2800
,Aggregated,6319,0,400.0,770.0696336749536,23.39005470275879,7431.894063949585,381.9292609590125,35.10121861991077,0.0,400,550,750,1100,1900,3000,5300,7400
